STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
2571,"MOTI JHEEL AT MOTIHARII, 
BIHAR",LAKE,BIHAR,18.0,34.0,6.2,7.9,7.0,8.0,275.0,1190.0,2.1,2.8,0.0,0.0
2573,"TIGHI TALAB AT GAYA, BIHAR",POND,BIHAR,18.0,34.0,6.2,9.5,7.1,8.1,340.0,748.0,2.6,3.2,0.0,0.0
2574,"SURAJ KUND AT GAYA, BIHAR",POND,BIHAR,18.0,33.0,6.4,9.8,7.4,8.2,308.0,600.0,2.3,3.0,0.0,0.0
2046,"SUKHNA LAKE, CHANDIGARH",LAKE,CHANDIGARH,14.0,32.0,5.1,9.7,6.7,9.1,137.0,244.0,3.0,203.0,0.28,5.2
1549,"SALAULIM LAKE AT SALAULIM 
- SANGUEM, GOA",LAKE,GOA,26.0,35.0,6.1,8.3,6.3,7.6,42.0,337.0,0.0,1.5,0.0,0.16
2269,"MAYEM LAKE, BICHOLIM",LAKE,GOA,26.5,33.0,4.4,8.8,5.2,7.4,38.0,77.0,0.5,2.2,0.0,0.83
3175,ANJUNEM LAKE,LAKE,GOA,27.0,32.5,6.1,9.1,6.2,7.9,43.0,100.0,0.4,2.0,0.01,0.42
3176,RUMDER LAKE,LAKE,GOA,25.3,35.0,1.9,7.5,6.3,8.0,98.0,324.0,0.6,6.0,0.03,2.43
3177,CARAMBOLIM LAKE,LAKE,GOA,23.3,33.0,2.8,8.5,6.4,7.7,63.0,235.0,1.0,5.1,0.0,1.24
3178,RAIA LAKE,LAKE,GOA,26.5,38.0,4.7,9.2,6.0,7.6,72.0,417.0,1.0,9.9,0.0,0.19
3179,SAIPEM LAKE,LAKE,GOA,26.0,31.5,0.0,7.8,6.4,7.8,289.0,380.0,1.1,12.0,0.0,11.57
3180,CURTORIM LAKE,LAKE,GOA,26.0,38.0,1.5,11.0,5.0,7.3,78.0,594.0,0.9,10.4,0.0,1.48
1343,"KANKORIA LAKE AT 
AHMEDABAD, NR. BALVATIKA, 
GUJARAT",LAKE,GUJARAT,25.0,39.0,4.2,11.6,8.4,9.1,2308.0,3479.0,30.0,87.0,0.19,0.41
1344,"CHANDOLA LAKE AT 
AHMEDABAD, GUJARAT",LAKE,GUJARAT,25.0,30.0,2.6,8.1,7.5,8.8,349.0,543.0,5.0,31.0,0.09,0.51
1345,"AJWAH LAKE AT SRI SAYAJI 
SABVAR, BARODA, GUJARAT",LAKE,GUJARAT,22.0,30.0,7.6,8.9,7.2,8.5,223.0,350.0,0.2,0.9,0.04,0.9
1346,"SURSAGAR LAKE AT BARODA, 
GUJARAT",LAKE,GUJARAT,25.0,32.0,1.6,5.5,6.7,8.0,2630.0,3720.0,0.8,2.5,0.08,1.1
1972,"NALSAROVAR LAKE (SANAND), 
DIST.AHMEDABAD",LAKE,GUJARAT,26.0,30.0,5.0,9.3,7.7,9.4,298.0,26580.0,5.0,105.0,0.1,0.39
1973,"BINDUSAROVAR, SIDDHPUR 
(DIST.PATAN)",LAKE,GUJARAT,21.0,38.0,3.4,9.0,7.3,8.3,146.0,2991.0,4.1,540.0,0.03,6.48
1975,"LAKHOTA TALAV, JAMNAGAR",LAKE,GUJARAT,22.0,29.0,4.1,7.2,6.6,8.8,420.0,860.0,4.1,10.8,0.01,0.38
1976,"NARSIMEHTA TALAV- 
JUNAGADH",LAKE,GUJARAT,22.0,26.0,3.8,36.0,6.7,8.0,360.0,1980.0,3.1,108.0,0.0,0.36
1977,CITY LAKE OF NADIAD,LAKE,GUJARAT,23.0,35.0,2.5,8.7,8.5,9.8,619.0,15521.0,1.9,87.0,0.24,8.2
1978,"RANJITNAGAR TALAV (HALOL), 
PANCHMAHALS",LAKE,GUJARAT,29.0,30.0,4.1,7.2,7.7,8.5,122.0,124.0,0.4,1.1,0.0,0.56
2075,"DHAROI DAM, DIST. 
MEHSANA.",LAKE,GUJARAT,26.0,31.0,5.2,9.2,7.5,8.3,226.0,450.0,1.5,2.7,0.04,0.08
2076,"ANKLESHWAR RESERVOIR AT 
GIDC ANKLESHWAR AT VALIA 
ROAD.",LAKE,GUJARAT,26.0,31.0,7.0,7.9,7.7,8.9,229.0,1770.0,1.0,1.2,0.06,0.27
2077,"MOTICHER LAKE NEAR 
KAKARPAR ATOMIC POWER 
STATION, DIST. SURAT.",LAKE,GUJARAT,27.0,33.0,6.1,7.4,7.3,8.2,300.0,476.0,1.0,1.9,0.0,0.92
2078,"KUWADAVA LAKE, VILL. 
KUWADAVA, DIST. RAJKOT.",LAKE,GUJARAT,24.0,28.0,5.7,7.7,7.0,8.0,209.0,1190.0,1.1,4.8,0.0,0.17
3197,"MACHHU-II DAM, 
RAFLESHWAR, MORBI, RAJKOT",LAKE,GUJARAT,24.0,36.0,5.3,7.8,7.4,8.2,344.0,2370.0,0.7,3.7,0.07,0.62
3198,"GOMTI LAKE, OPP, 
RANCHODAJI TEMPLE, DAKOR, 
KHEDA",LAKE,GUJARAT,24.0,37.0,2.0,20.0,7.3,8.2,325.0,621.0,0.7,2.7,0.04,0.86
3199,"HAMISAR TALAV, BHUJ",LAKE,GUJARAT,24.0,33.0,1.2,6.4,7.0,8.2,457.0,3200.0,0.7,11.0,0.71,11.8
3200,"MOONSAR LAKE OF 
VIRAMGAM",LAKE,GUJARAT,27.0,30.0,0.5,9.7,8.4,9.1,1884.0,12150.0,21.0,124.0,0.18,0.53
3201,"MALAV TALAV, DHOLKA",LAKE,GUJARAT,26.0,30.0,1.6,9.5,8.6,9.1,2354.0,3102.0,17.0,57.0,0.18,0.35
3202,"VHERAIMATA TALAV AT 
ANAND",LAKE,GUJARAT,26.0,30.0,2.1,5.2,7.4,8.7,190.0,1268.0,1.2,8.0,0.0,0.58
1979,"OLPAD, VILLAGE 
POND:OLPAD, SURAT",POND,GUJARAT,25.0,34.0,5.1,7.0,7.1,8.1,360.0,1073.0,1.1,2.0,0.01,0.11
2079,"DHUDHIA TALAV AT NAVSARI, 
DIST. NAVSARI.",POND,GUJARAT,24.0,32.0,6.0,7.4,4.6,8.2,326.0,552.0,0.9,2.3,0.03,0.09
1971,"THOL TANK (KALOL) (DIST. 
MEHASANA)",TANK,GUJARAT,26.0,30.0,4.2,10.0,7.4,8.3,221.0,422.0,6.0,29.0,0.05,80.0
1291,"GOBINDSAGAR LAKE AT 
BILASPUR, H.P.",LAKE,"HIMACHAL 
PRADESH",10.0,24.0,7.5,10.1,7.7,8.3,176.0,572.0,0.2,0.4,0.1,0.96
1292,"PONGDAM LAKE AT PONG 
VILLAGE, H.P.",LAKE,"HIMACHAL 
PRADESH",13.5,20.0,6.3,8.5,7.4,8.4,172.0,352.0,0.1,0.8,0.04,1.45
1429,"RENUKA LAKE , 35 KM FROM 
PATNA SAHIB NORTH , H.P",LAKE,"HIMACHAL 
PRADESH",13.0,24.0,5.3,7.7,6.4,8.0,719.0,886.0,1.2,2.6,0.24,0.75
2649,RIWALSAR LAKE,LAKE,"HIMACHAL 
PRADESH",12.0,30.0,4.5,9.8,7.2,8.2,190.0,288.0,2.0,22.0,0.0,1.79
2650,KHAZIAR LAKE,LAKE,"HIMACHAL 
PRADESH",7.9,15.1,5.9,6.3,6.8,7.7,69.0,133.0,2.8,8.0,0.0,1.53
1388,"ULSOOR LAKE TRAINING 
CENTRE OF FISH BREEDING, 
KARNATAKA",LAKE,KARNATAKA,28.0,36.0,4.2,9.8,7.4,9.3,410.0,666.0,3.0,8.0,0.55,2.0
