STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
3692,KUNDUVADAKERE,TANK,KARNATAKA,25.0,30.0,5.6,7.4,7.1,8.4,120.0,290.0,2.3,3.0,0.0,1.4
3693,BHATHIKERE,TANK,KARNATAKA,25.0,30.0,4.2,7.3,7.4,8.4,280.0,1520.0,5.0,112.0,0.0,6.3
3694,SHANTHISAGARKERE,TANK,KARNATAKA,26.0,34.0,5.5,7.6,7.6,8.3,130.0,204.0,2.5,4.0,0.0,0.35
3695,KONDAGGIKERE,TANK,KARNATAKA,25.0,27.0,5.3,7.1,7.1,7.7,140.0,290.0,3.0,5.3,0.0,0.19
3696,AIANAKERE,TANK,KARNATAKA,25.0,30.0,4.0,7.0,7.3,9.0,520.0,1940.0,16.0,360.0,0.0,4.8
3697,MATTADAKERE,TANK,KARNATAKA,24.5,27.0,2.0,5.4,7.7,8.3,350.0,490.0,5.0,9.0,0.0,1.93
1383,"ORUVATHILKOTTA LAKE, 
KERALA",LAKE,KERALA,30.0,33.0,4.0,6.6,6.6,6.9,387.0,733.0,3.0,14.0,0.0,1.2
1385,"SASTHAMCOTTA LAKE, 
KERALA",LAKE,KERALA,24.0,28.0,4.3,7.1,6.5,6.9,110.0,164.0,1.0,2.6,0.28,1.2
1441,"ASHTHAMUDI LAKE AT 
QUILON, KERALA",LAKE,KERALA,20.0,28.0,5.7,6.8,6.8,7.6,18796.0,30000.0,1.4,2.4,0.43,1.8
1574,"PARAVUR, KERALA",LAKE,KERALA,23.0,30.0,5.3,7.2,6.9,7.6,20100.0,27000.0,1.2,2.8,0.41,1.8
1575,"KOCHI (OIL TANKER JETTY), 
KERALA",LAKE,KERALA,27.0,33.0,3.2,7.9,6.7,8.0,1229.0,54170.0,0.6,3.9,0.24,1.23
1576,"THEKKADY, KERALA",LAKE,KERALA,26.0,28.0,1.5,7.4,6.7,7.5,34.0,81.0,0.1,0.4,0.0,2.35
1577,"KODUNGALLOOR, KERALA",LAKE,KERALA,27.0,30.0,4.5,7.0,6.8,7.9,1655.0,55450.0,0.7,3.7,0.23,0.78
1578,"KAYAMKULAM, KERALA",LAKE,KERALA,28.0,29.5,3.2,7.8,7.2,7.8,1126.0,51200.0,0.9,4.1,0.0,0.58
1579,"ALAPPUZHA, KERALA",LAKE,KERALA,26.0,30.0,3.8,7.8,6.8,7.5,168.0,18500.0,1.0,6.0,0.05,0.5
1580,"POOKOTE, KERALA",LAKE,KERALA,27.1,28.4,5.1,6.9,6.3,8.0,25.0,33.0,0.5,2.1,0.05,0.18
2312,"LAKE VEMBANADU AT 
PATHIRAMANAL (ALAPPUZHA)",LAKE,KERALA,26.0,29.5,4.8,8.8,6.9,7.7,182.0,22810.0,0.7,3.0,0.05,0.3
2318,"PAZHASSI RESERVOIR 
(KANNUR)",LAKE,KERALA,24.0,32.0,5.5,8.7,6.5,7.6,35.0,6052.0,0.2,2.7,0.06,0.57
2328,RSVR AT MALAMPUZHA,LAKE,KERALA,27.0,30.0,1.2,10.1,7.0,8.1,89.0,186.0,0.5,8.4,0.03,0.96
2329,RSVR AT BHOOTHATHANKETU,LAKE,KERALA,26.0,29.7,6.6,7.8,6.5,7.1,22.0,40.0,0.7,1.8,0.02,600.73
2330,RSVR AT EDAMALAYAR,LAKE,KERALA,27.0,29.8,6.7,8.0,6.5,7.4,20.0,35.0,0.4,1.9,0.01,0.25
3470,"VELLAYANI LAKE AT 
VANDITHADOM, 
THIRUVANANTHAPURAM",LAKE,KERALA,30.0,33.0,5.9,7.1,6.2,6.8,98.0,217.0,0.5,2.2,0.0,0.05
2325,"POND AT (PADMANABHA) 
SREE PADMANABHA SWAMY 
TEMPLE (TVPM)",POND,KERALA,30.0,33.0,5.9,6.8,6.6,8.3,79.0,210.0,1.3,2.0,0.0,0.5
3462,"MANANCHIRA POND AT 
KOZHEKODE",POND,KERALA,21.0,32.0,5.5,8.2,7.0,8.2,77.0,110.0,0.0,1.8,0.0,0.31
1373,"UPPER LAKE AT BHOPAL 
(INTAKE POINT), M.P.",LAKE,MADHYA PRADESH,18.0,29.0,7.5,8.3,7.6,8.4,223.0,292.0,1.5,19.9,0.0,3.82
1374,"LOWER LAKE AT BHOPAL 
OUTLET M.P.",LAKE,MADHYA PRADESH,18.0,29.0,6.2,8.7,7.4,8.3,336.0,492.0,3.1,3.7,0.0,11.6
1466,"MULTAI TANK LAKE AT VILLA. 
KHARI ON BETUL-AMRAVATI 
ROAD M.P.",LAKE,MADHYA PRADESH,2.9,29.0,7.2,8.1,7.4,8.1,176.0,432.0,1.2,2.8,0.0,2.72
2128,"KHANDARI RESERVOIR WATER 
OFF TAKE POINT",LAKE,MADHYA PRADESH,18.8,21.5,7.2,7.8,7.1,8.4,142.0,414.0,0.7,3.1,0.3,0.92
2129,PERIAT TANK JABALPUR,LAKE,MADHYA PRADESH,18.0,21.0,6.3,7.8,7.2,8.4,173.0,466.0,0.8,2.0,0.3,0.97
2131,YASHWANT SAGAR AT INDORE,LAKE,MADHYA PRADESH,19.0,32.0,4.8,7.9,7.5,8.7,499.0,1012.0,1.1,2.4,0.73,2.5
2132,BILAWALI TALAB AT INDORE,LAKE,MADHYA PRADESH,19.0,32.0,4.6,7.2,7.3,8.4,371.0,840.0,1.2,2.8,0.43,5.24
2133,SIRPUR TALAB AT INDORE,LAKE,MADHYA PRADESH,19.0,32.0,3.9,7.8,7.7,8.9,330.0,644.0,1.2,4.4,0.89,1.9
2134,"NAGCHUN TALAB AT 
KHANDWA",LAKE,MADHYA PRADESH,21.0,32.0,6.4,7.7,7.2,8.8,294.0,557.0,1.4,2.0,0.78,1.61
2135,GOVINDGARH TANK,LAKE,MADHYA PRADESH,24.0,32.0,6.5,7.4,7.2,7.7,0.0,522.0,1.2,1.8,1.55,5.86
2136,"SHAHPURA LAKE AT WEIR 
NEAR AYUSHMAN HOSPITAL, 
BHOPAL",LAKE,MADHYA PRADESH,19.0,34.0,5.5,7.6,7.3,8.8,526.0,677.0,3.1,3.8,0.0,15.85
2137,UPPER LAKE AT YATCH CLUB,LAKE,MADHYA PRADESH,19.0,29.0,7.5,8.4,7.5,8.6,218.0,322.0,1.5,2.2,0.0,2.21
2138,"UPPER LAKE AT KARBALA 
CLUB",LAKE,MADHYA PRADESH,21.0,29.0,7.5,8.2,7.5,8.5,211.0,296.0,1.7,2.6,0.0,1.91
2139,"UPPER LAKE AT BAIRAGARH 
CLUB",LAKE,MADHYA PRADESH,17.0,29.0,7.3,8.8,7.8,8.6,228.0,293.0,1.5,2.7,0.0,2.06
2140,"KERWA DAM NEAR REST 
HOUSE, BPL",LAKE,MADHYA PRADESH,6.0,30.0,6.9,8.1,7.6,8.5,193.0,278.0,1.2,2.5,0.0,0.4
2141,JANUNIA TALAB NEAR W-S,LAKE,MADHYA PRADESH,18.0,29.0,7.1,7.8,7.5,8.3,160.0,396.0,2.1,2.5,0.0,2.03
3296,CHORAL DAM NEAR INDORE,LAKE,MADHYA PRADESH,20.0,30.0,6.4,7.8,7.8,8.6,308.0,609.0,1.0,1.9,0.0,1.87
3297,"MITHA TALAB, DEWAS",POND,MADHYA PRADESH,22.0,26.0,4.6,7.0,7.1,8.0,552.0,814.0,2.4,4.8,0.84,2.03
3298,POND WATER AT LAKODA,POND,MADHYA PRADESH,24.0,24.0,7.0,8.2,7.5,7.9,280.0,522.0,2.0,3.0,0.0,2.34
3299,HANUMANTAL JABALPUR,POND,MADHYA PRADESH,18.0,23.0,6.9,7.9,7.1,8.7,360.0,634.0,3.1,5.4,0.3,1.8
3300,"RANITAL TALAB, JABALPUR",POND,MADHYA PRADESH,19.0,24.0,3.7,7.8,6.5,8.2,320.0,765.0,3.2,5.0,0.3,11.0
3301,MOTI TALAB AT BALAGHAT,POND,MADHYA PRADESH,16.0,24.0,4.1,7.7,7.4,8.9,350.0,1384.0,1.9,5.8,0.3,3.4
3302,"PIPLIYA PALA TALAB, INDORE",POND,MADHYA PRADESH,19.0,31.5,2.6,7.7,7.6,8.5,8.0,1108.0,1.4,8.0,0.95,6.37
3303,"RANI TALAB, REWA",POND,MADHYA PRADESH,22.6,33.0,6.1,7.3,7.2,7.7,10.0,508.0,1.3,2.2,1.41,6.21
3304,"RIHAND RESRVOIR, SINGRAULI",POND,MADHYA PRADESH,19.0,28.0,6.4,8.3,7.4,7.7,270.0,516.0,1.2,1.6,0.08,2.02
3830,"GOKALPUR TALAB, DIST 
JABALPUR",POND,MADHYA PRADESH,18.0,22.1,6.2,7.6,7.1,7.8,382.0,1340.0,2.8,10.0,0.34,4.8
3831,"DAL SAGAR TALAB, DIST SEONI",POND,MADHYA PRADESH,19.0,22.6,6.3,7.5,7.2,8.2,270.0,834.0,2.0,3.9,0.34,1.8
3849,SITAPAT TALAB DHAR,POND,MADHYA PRADESH,20.0,31.0,6.3,7.6,7.7,8.7,270.0,580.0,0.8,210.0,0.0,1.67
3850,BAGDOON TALAB PITHAMPUR,POND,MADHYA PRADESH,22.0,31.5,4.7,7.5,7.5,8.7,373.0,660.0,1.2,2.8,0.63,1.66
1425,"LOKTAK LAKE AT THANA, 
MANIPUR",LAKE,MANIPUR,20.1,22.6,6.3,6.9,7.5,7.6,265.0,309.0,2.0,3.4,0.0,0.0
1426,"LOKTAK LAKE AT BISHNUPUR, 
MANIPUR",LAKE,MANIPUR,20.2,24.3,6.4,6.6,7.0,7.1,310.0,370.0,2.1,3.1,0.0,0.0
1629,"SENDRA (LOKTAK LAKE), 
MANIPUR",LAKE,MANIPUR,20.3,22.3,6.2,6.7,6.9,7.2,260.0,294.0,1.1,1.3,0.0,0.0
1630,"KARANG ISLAND(LOKTAK 
LAKE), MANIPUR",LAKE,MANIPUR,21.0,23.5,6.0,6.5,6.8,7.1,270.0,352.0,1.3,1.7,0.0,0.0
2837,"PUMLEN LAKE AT 
TOKPACHING, DISTT. 
THOUBAL, MANIPUR",LAKE,MANIPUR,21.0,23.0,5.0,7.9,3.1,9.0,2.0,246.0,1.0,2.6,0.0,0.0
2839,"PUKHRI AT LANGMEIDONG, 
DISTT. THOUBAL, MANIPUR",POND,MANIPUR,21.2,23.6,7.3,8.4,2.2,7.0,200.0,296.0,1.4,1.8,0.0,0.0
2840,"LAMJAO PUKHURI AT 
ACHOUBA, DISTT. THOUBAL, 
MANIPUR",POND,MANIPUR,21.2,23.9,6.9,8.2,7.0,7.4,196.0,290.0,1.0,1.7,0.0,0.0
2841,"HIRANMEI PUKHURI AT 
THOUBAL, MANIPUR",POND,MANIPUR,22.0,24.0,6.3,7.1,7.1,7.2,201.0,425.0,1.8,3.0,0.0,0.0
2842,"LANGMEIDONG PUKHURI AT 
THOUBAL, MANIPUR",POND,MANIPUR,21.3,24.1,6.4,6.9,6.9,7.1,320.0,480.0,1.6,2.6,0.0,0.0
2843,"POND AT LALAMBUNG, 
IMPHAL WEST, MANIPUR",POND,MANIPUR,21.4,22.6,6.1,7.5,6.8,7.1,350.0,521.0,1.6,2.1,0.0,0.0
2844,"LILONG PUKHURI AT IMPHAL 
WEST, MANIPUR",POND,MANIPUR,20.4,22.6,6.0,6.4,6.7,7.1,50.0,430.0,1.9,130.0,0.0,0.0
2845,"POND AT NGAIRANGBAM, 
IMPHAL WEST, MANIPUR",POND,MANIPUR,20.3,22.5,5.7,6.0,6.7,7.1,200.0,230.0,1.0,1.0,0.0,0.0
2846,"POND AT MOIDANGPOK, 
IMPHAL WEST, MANIPUR",POND,MANIPUR,21.0,23.2,5.7,5.9,6.9,7.2,290.0,380.0,1.2,2.1,0.0,0.0
2847,"POND AT MAIBAM 
LOKPACHING, IMPHAL WEST, 
MANIPUR",POND,MANIPUR,21.0,23.1,6.0,6.9,7.0,7.3,120.0,130.0,1.1,1.3,0.0,0.0
2848,"POND AT KAKWA BAZAR, 
IMPHAL WEST, MANIPUR",POND,MANIPUR,21.1,24.0,6.0,6.3,7.0,7.3,110.0,820.0,1.2,2.1,0.0,0.0
2849,"CHANAM PUKHURI, IMPHAL 
WEST, MANIPUR",POND,MANIPUR,21.5,24.0,5.8,6.4,6.3,7.2,7.0,726.0,1.2,1.7,0.0,0.0
2850,"NINGTHEM PUKHURI, IMPHAL 
EAST, MANIPUR",POND,MANIPUR,20.9,23.7,5.0,5.6,6.9,7.3,430.0,575.0,1.2,1.6,0.0,76.0
2851,"POND AT KONGBA BAZAR, 
IMPHAL EAST, MANIPUR",POND,MANIPUR,20.9,22.4,6.1,6.4,6.1,7.0,450.0,732.0,1.0,2.6,0.0,0.0
1347,"UMIAM LAKE AT BARAPANI, 
MEGHALAYA",LAKE,MEGHALAYA,16.0,25.0,5.0,6.8,6.9,7.7,8.0,177.0,3.8,6.5,0.35,1.31
1348,"WARD LAKE AT SHILONG 
EAST, KHASI HILL DT., 
MEGHALAYA",LAKE,MEGHALAYA,13.0,27.0,6.0,8.6,6.9,7.6,132.0,198.0,2.5,8.0,0.22,1.08
1459,"THADLASKEIN LAKE, 
MEGHALAYA",LAKE,MEGHALAYA,15.0,23.0,6.4,7.3,6.9,7.5,38.0,59.0,1.5,2.5,0.02,0.44
3346,"UMIAM LAKE AT OUTFALL OF 
UMIAM RIVER INTO LAKE, RI- 
BHOI",LAKE,MEGHALAYA,16.0,24.0,3.5,6.6,6.8,8.4,83.0,247.0,4.2,11.0,0.25,3.5
3347,"UMIAM LAKE AT MIDDLE 
POINT, RI- BHOI",LAKE,MEGHALAYA,12.0,25.0,4.4,6.8,7.1,8.3,75.0,174.0,3.5,6.2,0.3,1.47
3348,"UMIAM LAKE ATNEAR UNITED 
CHRISTIAN COLLEGE, RI- BHOI",LAKE,MEGHALAYA,16.0,25.0,5.6,6.8,6.9,8.0,74.0,180.0,3.2,6.6,0.11,1.47
3349,"TASEK LAKE AT SONGSAK 
(NAPHAK), EAST GARO HILLS",LAKE,MEGHALAYA,15.0,28.0,0.3,7.6,6.7,7.5,48.0,94.0,1.5,2.4,0.28,0.42
2437,CHILKA LAKE (RAMSAR SITE),LAKE,ODISHA,22.0,33.0,5.3,8.3,7.2,8.5,7086.0,59110.0,0.9,2.6,0.13,1.95
2438,ANSHUPA,LAKE,ODISHA,22.0,33.0,5.8,12.9,7.3,8.4,112.0,364.0,0.6,3.9,0.21,4.03
3953,CHILKA AT RAMBHA,LAKE,ODISHA,10.0,32.0,6.0,9.0,7.6,8.4,12770.0,38030.0,0.9,2.0,0.13,1.63
3954,"TAMPADA LAKE AT 
CHHATRAPUR",LAKE,ODISHA,11.0,35.0,3.0,9.0,7.5,8.5,479.0,730.0,4.3,10.2,0.69,3.92
3955,ANSHUPA AT SUBARANAPUR,LAKE,ODISHA,22.0,34.0,4.8,9.1,7.2,8.5,94.0,323.0,1.0,3.7,0.2,4.26
3956,ANSHUPA AT BISHNUPUR,LAKE,ODISHA,22.0,34.0,5.1,8.8,7.2,8.4,113.0,206.0,0.8,3.5,0.0,3.04
3957,ANSHUPA AT SARAANDAGARH,LAKE,ODISHA,23.0,32.0,5.1,8.4,7.2,8.5,125.0,250.0,1.1,3.2,0.18,2.47
2431,"BINDUSAGAR ( RELIGIOUS 
POND OF BHUBANESWAR 
CITY)",POND,ODISHA,23.0,37.0,1.7,10.1,7.5,8.6,395.0,500.0,1.5,6.3,0.27,6.39
2434,"INDRADYUMNA TANK ( 
RILIGIOUS POND OF PURI 
CITY)",POND,ODISHA,22.0,32.0,5.9,16.2,7.7,8.5,520.0,745.0,3.3,13.5,0.7,5.44
2435,"SWETAGANGA ( RILIGIOUS 
POND OF PURI CITY)",POND,ODISHA,21.0,30.0,1.7,17.9,7.2,8.6,412.0,1301.0,2.7,11.0,1.45,6.8
2436,"PARVATI SAGAR ( RILIGIOUS 
POND OF PURI CITY)",POND,ODISHA,20.0,34.0,5.8,15.8,7.2,8.5,369.0,640.0,3.2,13.4,0.16,4.73
3962,"JAGANNATH SAGAR POND OF 
JEYPORE",POND,ODISHA,20.0,34.0,5.7,7.3,6.7,8.5,104.0,547.0,1.3,6.8,0.4,6.38
3963,RANIGUDA POND,POND,ODISHA,19.0,31.0,2.7,18.0,7.3,8.5,391.0,1144.0,2.9,35.8,0.86,5.73
1396,"OSTERI LAKE, PONDICHERRY",LAKE,PUDUCHERRY,29.0,34.0,6.4,8.1,8.0,8.5,307.0,608.0,0.0,23.0,0.01,0.1
1686,"BAHOUR LAKE, PONDICHERRY",LAKE,PUDUCHERRY,29.0,34.0,5.6,8.6,8.0,8.9,568.0,1012.0,0.0,1.8,0.01,0.97
1297,"HARIKE LAKE AT HARIKE 
VILLAGE, PUNJAB",LAKE,PUNJAB,12.0,33.0,6.2,7.2,7.2,7.6,244.0,374.0,1.3,2.3,0.13,1.2
1382,"HARIKE LAKE D-S FROM 
CANAL, PUNJAB",LAKE,PUNJAB,11.0,29.0,6.0,7.3,7.0,7.4,232.0,370.0,1.3,2.4,0.16,2.2
2912,"RANJIT SAGAR RESERVOIR, 
PUNJAB",LAKE,PUNJAB,11.0,28.0,5.2,8.4,7.0,7.5,148.0,486.0,0.0,2.6,0.2,1.9
1285,"PICHOLA LAKE AT UDAIPUR 
(WATER INTAKE POINT), 
RAJASTHAN",LAKE,RAJASTHAN,8.0,30.0,5.4,8.1,7.6,8.6,350.0,1190.0,0.4,2.2,1.6,3.0
1286,"UDAISAGAR LAKE AT UDAIPUR 
(INTAKE PT.) RAJASTHAN",LAKE,RAJASTHAN,9.0,32.0,5.1,7.0,7.8,8.5,450.0,1330.0,1.5,2.5,1.34,2.28
1414,"PUSHKAR LAKE, RAJASTHAN",LAKE,RAJASTHAN,19.0,35.0,4.4,5.4,7.2,8.4,320.0,440.0,1.0,2.5,1.2,1.66
1481,"FATEH SAGAR LAKE AT 
UDAIPUR INTAKE POINT OF 
PHED, RAJASTHAN",LAKE,RAJASTHAN,8.0,30.0,6.4,8.0,7.8,8.6,490.0,640.0,1.2,1.8,1.5,2.68
1714,"KAYALANA JHEEL JODHPUR, 
RAJASTHAN",LAKE,RAJASTHAN,15.0,34.6,4.0,7.2,7.0,9.1,270.0,360.0,0.9,1.6,0.84,2.28
1716,"NAKKI LAKE, MT. ABU, 
RAJASTHAN",LAKE,RAJASTHAN,9.0,27.0,4.5,6.0,7.0,8.1,160.0,410.0,1.0,1.8,0.0,7.64
2935,"LAKE JET SAGAR, BUNDI, 
RAJASTHAN",LAKE,RAJASTHAN,18.0,31.0,4.5,6.2,6.9,8.4,310.0,440.0,1.2,1.7,1.14,1.66
2936,"JAISAMAND LAKE, ALWAR, 
RAJASTHAN",LAKE,RAJASTHAN,18.0,18.0,6.9,6.9,8.5,8.5,320.0,320.0,1.0,1.0,1.84,1.84
2937,"LAKE SILISERH, ALWAR, 
RAJASTHAN",LAKE,RAJASTHAN,16.0,33.0,5.8,7.6,7.2,8.5,190.0,290.0,0.9,1.6,0.0,1.7
2938,"LAKE RAJSAMAND, 
RAJSAMAND- POINT NO. 1, 
RAJSAMAND, RAJASTHAN",LAKE,RAJASTHAN,20.2,35.7,4.7,6.0,7.8,8.4,420.0,650.0,1.0,2.1,0.54,2.1
2939,"LAKE RAJSAMAND, 
RAJSAMAND- POINT NO. 2, 
RAJSAMAND, RAJASTHAN",LAKE,RAJASTHAN,20.2,35.6,4.6,6.1,7.9,8.4,410.0,680.0,0.9,1.9,0.42,2.46
2940,"GAPE- SAGAR LAKE, 
DUNGARPUR, RAJASTHAN",LAKE,RAJASTHAN,7.0,28.0,4.6,7.2,7.4,8.5,580.0,820.0,1.7,2.4,0.98,2.36
2941,"LAKE JAISAMAND, SALUMBER, 
UDAIPUR, POINT NO. 1, 
RAJASTHAN",LAKE,RAJASTHAN,7.0,28.0,7.5,8.2,7.7,8.3,440.0,570.0,1.2,2.2,1.1,2.28
2942,"LAKE JAISAMAND, SALUMBER, 
UDAIPUR, POINT NO. 2, 
RAJASTHAN",LAKE,RAJASTHAN,7.0,28.0,7.1,8.0,7.8,8.6,430.0,560.0,1.5,2.6,1.14,2.74
2943,"LODHA TALAB, BANSWARA- 
DUNGARPUR ROAD, 
BANSWARA, RAJASTHAN",LAKE,RAJASTHAN,20.0,33.0,4.1,5.2,6.7,8.4,560.0,1110.0,1.0,2.3,1.2,3.07
2944,"JALMAHAL, JAIPUR, 
RAJASTHAN",LAKE,RAJASTHAN,15.0,31.0,2.3,4.3,8.6,9.0,3000.0,5400.0,5.0,12.5,1.84,3.32
1420,"KODAI KANAL LAKE, 
TAMILNADU",LAKE,TAMIL NADU,17.0,25.0,4.3,7.3,6.3,8.0,97.0,131.0,2.4,6.0,0.18,1.36
1421,"UDHAGAMADALEM LAKE 
(OOTY), TAMILNADU",LAKE,TAMIL NADU,12.0,20.0,2.2,8.2,6.8,8.0,396.0,650.0,3.6,24.0,1.0,1.0
1452,"YERCAUD LAKE, SALEM, 
TAMILNADU",LAKE,TAMIL NADU,18.0,26.0,5.5,7.9,6.7,8.4,298.0,437.0,0.9,8.7,1.0,1.0
3007,"VEERANAM LAKE AT 
CUDDALORE, TAMILNADU",LAKE,TAMIL NADU,28.0,31.0,5.4,8.2,7.5,9.1,446.0,1250.0,1.4,5.2,1.0,1.0
3008,"POONDI LAKE AT 
THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,30.0,30.0,3.0,7.2,6.9,8.2,342.0,1729.0,2.0,45.0,0.01,1.37
3009,"REDD HILLS AT THIRUVALLUR, 
TAMILNADU",LAKE,TAMIL NADU,27.0,31.0,3.3,7.9,6.1,8.7,268.0,824.0,3.0,45.0,0.01,1.0
3010,"PORUR LAKE AT 
THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,31.0,31.0,5.3,7.9,6.5,9.4,485.0,683.0,2.0,13.0,0.03,1.0
3011,"PULICATE LAKE AT 
THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,30.0,31.0,1.7,7.8,6.4,8.4,1059.0,59900.0,1.3,14.0,0.0,1.0
1391,"HUSSAIN SAGAR LAKE, 
BUDAMERU",LAKE,TELANGANA,22.0,31.0,0.1,2.5,7.4,8.0,952.0,1415.0,9.0,26.0,0.0,9.9
1788,"SAROONAGAR , RANGA REDDY 
DIST.",LAKE,TELANGANA,25.0,30.0,0.1,1.2,7.4,8.1,940.0,1688.0,18.0,40.0,0.0,9.3
1789,"HIMAYAT SAGAR LAKE , 
R.R.DIST.",LAKE,TELANGANA,20.0,30.0,3.8,6.2,7.9,8.6,277.0,444.0,1.0,3.0,0.0,1.9
2340,"LAXMINARAYANA CHEVURU 
AT EDULABAD, RANGAREDDY,",LAKE,TELANGANA,22.0,27.0,1.9,6.0,7.6,8.5,902.0,1420.0,10.0,18.0,0.0,5.7
2341,"MIRALAM LAKE NEAR ZOO 
PARK, RANGAREDDY",LAKE,TELANGANA,25.0,30.0,0.1,2.4,7.4,8.5,1343.0,1663.0,8.0,29.0,0.0,10.9
2342,"NOOR MD. KUNTA, 
KATTEDAN, RANGAREDDY,",LAKE,TELANGANA,25.0,30.0,0.1,0.1,7.1,8.1,1068.0,2702.0,20.0,55.0,0.0,6.86
3068,"RAMAPPA LAKE, WARANGAL",LAKE,TELANGANA,7.0,29.0,5.2,60.0,7.6,8.5,220.0,320.0,1.0,3.0,0.0,2.3
3069,"SHAMEERPET LAKE, 
SHAMEERPET, RANGA REDDY",LAKE,TELANGANA,22.0,30.0,2.9,5.2,7.6,8.5,251.0,510.0,1.0,6.0,0.0,6.1
3070,"FOX SAGAR, JEEDIMETLA, 
RANGA REDDY",LAKE,TELANGANA,24.0,30.0,1.5,3.8,7.1,8.7,576.0,1064.0,3.0,13.0,0.0,7.6
3071,"LANGARHOUSE LAKE, 
HYDERABAD",LAKE,TELANGANA,24.0,34.0,0.1,2.2,7.1,7.9,939.0,1398.0,10.0,28.0,0.0,4.8
3072,"SAFILGUDA LAKE, RANGA 
REDDY",LAKE,TELANGANA,24.0,30.0,0.1,1.8,7.3,8.1,1043.0,1737.0,10.0,18.0,0.0,6.4
3073,"HASMATHPET LAKE, 
HASMATHPET, RANGA REDDY,",LAKE,TELANGANA,20.0,32.0,0.1,2.0,7.4,8.5,813.0,1790.0,12.0,30.0,0.0,5.42
3074,"BANJARA LAKE, BANJARA 
HILLS, RANGA REDDY,",LAKE,TELANGANA,22.0,34.0,0.1,1.0,7.1,8.3,880.0,1289.0,10.0,30.0,0.0,4.6
2344,"NALLA CHEVURU, 
RANGAREDDY",POND,TELANGANA,22.0,27.0,0.1,0.9,7.3,8.3,928.0,1978.0,13.0,26.0,0.0,10.3
2345,"SAI CHEVURU, NEAR TANNERY 
INDUSTRIES, DESAIPET, 
WARANGAL",POND,TELANGANA,25.0,31.0,0.1,1.7,7.2,8.5,8950.0,32600.0,107.0,220.0,0.0,28.3
2346,"BHADRAKALI CHEVURU, 
BHADRAKALI TEMPLE, 
WARANGAL",POND,TELANGANA,25.0,30.0,5.1,5.9,7.8,8.8,358.0,480.0,2.0,5.0,0.0,4.6
2347,"ASANI KUNTA, KAJIPALLY, 
MEDAK",POND,TELANGANA,20.0,38.0,0.1,0.1,4.9,7.6,6080.0,20680.0,86.0,204.0,27.16,102.0
2357,DURGAM CHEVURU,POND,TELANGANA,20.0,27.0,1.0,2.0,7.1,8.6,822.0,1473.0,5.0,12.0,0.0,10.3
2359,PEDDA CHEVURU,POND,TELANGANA,22.0,28.0,0.1,4.0,7.4,8.3,1078.0,2425.0,15.0,28.0,0.0,3.3
3075,"RANGADHAMUNI CHERUVU, 
RANGA REDDY",POND,TELANGANA,20.0,33.0,0.1,3.1,7.4,8.1,662.0,1482.0,12.0,22.0,0.0,8.6
3076,"AMBER CHERUVU, 
KUKATPALLY, RANGA REDDY",POND,TELANGANA,22.0,33.0,0.1,2.6,7.4,8.6,830.0,1736.0,9.0,20.0,0.0,20.1
3077,"KAPRA CHERUVU, KAPRA, 
RANGA REDDY",POND,TELANGANA,25.0,30.0,0.1,3.0,6.9,8.3,812.0,1350.0,7.0,18.0,0.0,3.0
3078,"PRAGATHINAGAR CHERUVU, 
KUKATPALLY, RANGA REDDY",POND,TELANGANA,25.0,33.0,0.1,3.8,7.3,7.9,827.0,1653.0,8.0,20.0,0.0,7.4
1447,"DHARMASAGAR TANK NEAR 
WARANGAL",TANK,TELANGANA,23.0,33.0,5.4,6.3,7.6,8.6,224.0,465.0,2.0,4.0,0.0,2.1
1464,"BIBINAGAR TANK,",TANK,TELANGANA,20.0,29.0,6.1,8.2,7.4,8.5,365.0,628.0,3.0,6.0,4.6,15.0
1780,"GANDIGUDEM , MEDAK 
DISTRICT",TANK,TELANGANA,21.0,38.0,4.9,8.0,7.2,8.3,1163.0,1825.0,8.0,15.0,13.5,39.0
1783,"KISTAREDDYPET TANK , 
MEDAK DIST",TANK,TELANGANA,20.0,36.0,5.6,7.8,6.7,7.9,1437.0,6710.0,6.0,10.0,9.0,33.0
2343,"PREMAJIPET TANK, 
KATTEDAN, RANGAREDDY",TANK,TELANGANA,20.0,30.0,0.1,1.0,5.7,7.9,2223.0,7570.0,17.0,35.0,0.0,5.2
2348,"KAJIPALLY TANK, KAJIPALLY, 
MEDAK",TANK,TELANGANA,21.0,28.0,6.2,7.1,7.1,7.8,3650.0,5586.0,8.0,10.0,0.0,30.0
2358,MALLAPUR TANK,TANK,TELANGANA,23.0,29.0,0.1,0.8,7.3,8.3,1175.0,2059.0,18.0,40.0,0.0,18.1
3084,"WADDEPALLY TANK, KAZIPET, 
WARANGAL",TANK,TELANGANA,22.0,30.0,4.0,5.9,7.5,8.9,310.0,468.0,3.0,5.0,0.0,4.5
